Weekly SST data starts week centered on 3Jan1990 
Nino34
"Date","SST","SSTA"
"2000Aug09",26.6,-0.3
"2000Aug16",26.4,-0.4
"2000Aug23",26.3,-0.5
"2000Aug30",26.4,-0.4
"2000Sep06",26.3,-0.5
"2000Sep13",26.1,-0.6
"2000Sep20",26.1,-0.6
"2000Sep27",26.3,-0.4
"2000Oct04",26.1,-0.6
"2000Oct11",26,-0.6
"2000Oct18",25.9,-0.8
"2000Oct25",25.9,-0.8
"2000Nov01",25.6,-1.1
"2000Nov08",25.6,-1.1
"2000Nov15",25.9,-0.7
"2000Nov22",25.9,-0.7
"2000Nov29",25.9,-0.7
"2000Dec06",25.6,-1
"2000Dec13",25.6,-1
"2000Dec20",25.6,-1
"2000Dec27",25.5,-1
"2001Jan03",25.6,-1
"2001Jan10",25.6,-1
"2001Jan17",25.8,-0.8
"2001Jan24",25.9,-0.8
"2001Jan31",26,-0.7
"2001Feb07",25.9,-0.8
"2001Feb14",26,-0.7
"2001Feb21",26.3,-0.6
"2001Feb28",26.4,-0.5
"2001Mar07",26.6,-0.5
"2001Mar14",26.8,-0.4
"2001Mar21",27.1,-0.2
"2001Mar28",27,-0.4
"2001Apr04",27.3,-0.3
"2001Apr11",27.6,-0.1
"2001Apr18",27.7,-0.1
"2001Apr25",27.6,-0.2
"2001May02",27.5,-0.3
"2001May09",27.6,-0.2
"2001May16",27.5,-0.3
"2001May23",27.7,-0.1
"2001May30",27.7,-0.1
"2001Jun06",27.8,0.1
"2001Jun13",27.7,0
"2001Jun20",27.7,0.1
"2001Jun27",27.6,0.1
"2001Jul04",27.5,0.1
"2001Jul11",27.4,0.1
"2001Jul18",27.3,0.1
"2001Jul25",27.2,0.1
"2001Aug01",27.2,0.1
"2001Aug08",27,0.1
"2001Aug15",26.8,0
"2001Aug22",26.8,0
"2001Aug29",26.6,-0.2
"2001Sep05",26.6,-0.1
"2001Sep12",26.6,-0.2
"2001Sep19",26.5,-0.2
"2001Sep26",26.5,-0.2
"2001Oct03",26.5,-0.2
"2001Oct10",26.5,-0.2
"2001Oct17",26.6,0
"2001Oct24",26.6,0
"2001Oct31",26.6,0
"2001Nov07",26.6,-0.1
"2001Nov14",26.5,-0.1
"2001Nov21",26.3,-0.3
"2001Nov28",26.3,-0.3
"2001Dec05",26.1,-0.5
"2001Dec12",26.1,-0.4
"2001Dec19",26.2,-0.4
"2001Dec26",26.2,-0.3
"2002Jan02",26.2,-0.4
"2002Jan09",26.5,-0.1
"2002Jan16",26.4,-0.1
"2002Jan23",26.6,0
"2002Jan30",26.7,0.1
"2002Feb06",26.9,0.3
"2002Feb13",27,0.3
"2002Feb20",26.8,0
"2002Feb27",27.1,0.1
"2002Mar06",27.2,0.1
"2002Mar13",27.3,0.1
"2002Mar20",27.4,0.1
"2002Mar27",27.4,0
"2002Apr03",27.7,0.2
"2002Apr10",28,0.3
"2002Apr17",27.9,0.2
"2002Apr24",28,0.2
"2002May01",28,0.2
"2002May08",28,0.2
"2002May15",28,0.1
"2002May22",28.3,0.4
"2002May29",28.4,0.7
"2002Jun05",28.6,0.9
"2002Jun12",28.6,0.9
"2002Jun19",28.4,0.8
"2002Jun26",28.2,0.7
"2002Jul03",28,0.6
"2002Jul10",28,0.7
"2002Jul17",28,0.8
"2002Jul24",27.9,0.8
"2002Jul31",27.9,0.9
"2002Aug07",27.8,0.9
"2002Aug14",27.8,0.9
"2002Aug21",27.8,1
"2002Aug28",27.8,1
"2002Sep04",27.7,0.9
"2002Sep11",27.8,1
"2002Sep18",27.9,1.2
"2002Sep25",27.9,1.2
"2002Oct02",28,1.3
"2002Oct09",27.9,1.2
"2002Oct16",27.9,1.2
"2002Oct23",28.2,1.6
"2002Oct30",28.3,1.7
"2002Nov06",28.2,1.6
"2002Nov13",28.3,1.7
"2002Nov20",28.3,1.7
"2002Nov27",28.2,1.6
"2002Dec04",28.2,1.6
"2002Dec11",28.1,1.5
"2002Dec18",28.1,1.5
"2002Dec25",28,1.4
"2003Jan01",28.1,1.5
"2003Jan08",27.9,1.3
"2003Jan15",27.7,1.2
"2003Jan22",27.7,1.1
"2003Jan29",27.5,0.8
"2003Feb05",27.3,0.6
"2003Feb12",27.4,0.7
"2003Feb19",27.7,0.9
"2003Feb26",27.6,0.7
"2003Mar05",27.6,0.6
"2003Mar12",27.7,0.6
"2003Mar19",28,0.8
"2003Mar26",27.9,0.5
"2003Apr02",27.8,0.3
"2003Apr09",27.8,0.2
"2003Apr16",27.9,0.1
"2003Apr23",27.8,0
"2003Apr30",27.7,-0.1
"2003May07",27.4,-0.4
"2003May14",27.3,-0.5
"2003May21",27.3,-0.6
"2003May28",27.4,-0.4
"2003Jun04",27.4,-0.3
"2003Jun11",27.4,-0.2
"2003Jun18",27.5,-0.1
"2003Jun25",27.6,0
"2003Jul02",27.5,0.1
"2003Jul09",27.6,0.3
"2003Jul16",27.5,0.3
"2003Jul23",27.3,0.2
"2003Jul30",27.1,0.1
"2003Aug06",27,0
"2003Aug13",26.9,0.1
"2003Aug20",26.7,-0.1
"2003Aug27",26.7,-0.1
"2003Sep03",26.9,0.1
"2003Sep10",26.8,0
"2003Sep17",26.9,0.2
"2003Sep24",27.1,0.4
"2003Oct01",27.3,0.6
"2003Oct08",27.4,0.7
"2003Oct15",27.1,0.4
"2003Oct22",27.1,0.4
"2003Oct29",27.2,0.5
"2003Nov05",27,0.4
"2003Nov12",26.9,0.3
"2003Nov19",27.1,0.4
"2003Nov26",27.2,0.5
"2003Dec03",27.1,0.5
"2003Dec10",27,0.4
"2003Dec17",26.8,0.3
"2003Dec24",26.8,0.2
"2003Dec31",26.7,0.1
"2004Jan07",26.6,0
"2004Jan14",26.6,0
"2004Jan21",27,0.4
"2004Jan28",26.9,0.2
"2004Feb04",26.8,0.1
"2004Feb11",26.8,0.1
"2004Feb18",26.9,0.1
"2004Feb25",27,0.1
"2004Mar03",26.9,-0.1
"2004Mar10",26.9,-0.2
"2004Mar17",27.1,-0.1
"2004Mar24",27.3,-0.1
"2004Mar31",27.5,0
"2004Apr07",27.7,0.1
"2004Apr14",27.8,0.1
"2004Apr21",28,0.2
"2004Apr28",28.1,0.3
"2004May05",27.9,0.1
"2004May12",28,0.1
"2004May19",28.2,0.4
"2004May26",28.1,0.3
"2004Jun02",28.1,0.3
"2004Jun09",28,0.3
"2004Jun16",27.8,0.1
"2004Jun23",27.5,0
"2004Jun30",27.3,-0.1
"2004Jul07",27.6,0.3
"2004Jul14",27.7,0.4
"2004Jul21",27.7,0.6
"2004Jul28",27.9,0.8
"2004Aug04",27.8,0.8
"2004Aug11",27.6,0.7
"2004Aug18",27.4,0.6
"2004Aug25",27.4,0.7
"2004Sep01",27.4,0.7
"2004Sep08",27.4,0.6
"2004Sep15",27.5,0.7
"2004Sep22",27.6,0.9
"2004Sep29",27.5,0.8
"2004Oct06",27.4,0.7
"2004Oct13",27.3,0.6
"2004Oct20",27.4,0.7
"2004Oct27",27.4,0.7
"2004Nov03",27.3,0.6
"2004Nov10",27.3,0.6
"2004Nov17",27.3,0.7
"2004Nov24",27.3,0.7
"2004Dec01",27.4,0.8
"2004Dec08",27.4,0.8
"2004Dec15",27.3,0.7
"2004Dec22",27.3,0.7
"2004Dec29",27.2,0.6
"2005Jan05",27.1,0.5
"2005Jan12",27.1,0.5
"2005Jan19",27.1,0.5
"2005Jan26",27.1,0.5
"2005Feb02",26.9,0.2
"2005Feb09",27,0.3
"2005Feb16",27,0.3
"2005Feb23",27,0.1
"2005Mar02",27,0
"2005Mar09",27.2,0.1
"2005Mar16",27.6,0.4
"2005Mar23",27.9,0.5
"2005Mar30",28,0.5
"2005Apr06",28,0.4
"2005Apr13",27.9,0.1
"2005Apr20",28.2,0.4
"2005Apr27",28.3,0.5
"2005May04",28.3,0.4
"2005May11",28.2,0.4
